"WL(nm)","Spectrum","Spectrum(W/nm)",
"490.6","0.2707","3.1397e-004",
"490.8","0.2709","3.1427e-004",
"491.0","0.2711","3.1447e-004",
"491.2","0.2713","3.1470e-004",
"491.4","0.2717","3.1520e-004",
"491.6","0.2724","3.1602e-004",
"491.8","0.2730","3.1666e-004",
"492.0","0.2733","3.1703e-004",
"492.2","0.2737","3.1745e-004",
"492.4","0.2742","3.1804e-004",
"492.6","0.2750","3.1897e-004",
"492.8","0.2759","3.2007e-004",
"493.0","0.2765","3.2071e-004",
"493.2","0.2768","3.2105e-004",
"493.4","0.2775","3.2187e-004",
"493.6","0.2785","3.2301e-004",
"493.8","0.2793","3.2393e-004",
"494.0","0.2800","3.2476e-004",
"494.2","0.2808","3.2570e-004",
"494.4","0.2818","3.2688e-004",
"494.6","0.2832","3.2851e-004",
"494.8","0.2847","3.3022e-004",
"495.0","0.2858","3.3148e-004",
"495.2","0.2867","3.3259e-004",
"495.4","0.2876","3.3364e-004",
"495.6","0.2887","3.3484e-004",
"495.8","0.2900","3.3641e-004",
"496.0","0.2914","3.3799e-004",
"496.2","0.2924","3.3915e-004",
"496.4","0.2935","3.4045e-004",
"496.6","0.2951","3.4228e-004",
"496.8","0.2967","3.4411e-004",
"497.0","0.2979","3.4553e-004",
"497.2","0.2993","3.4715e-004",
"497.4","0.3010","3.4913e-004",
"497.6","0.3027","3.5117e-004",
"497.8","0.3044","3.5310e-004",
"498.0","0.3063","3.5530e-004",
"498.2","0.3084","3.5776e-004",
"498.4","0.3100","3.5957e-004",
"498.6","0.3109","3.6061e-004",
"498.8","0.3123","3.6228e-004",
"499.0","0.3144","3.6474e-004",
"499.2","0.3168","3.6752e-004",
"499.4","0.3192","3.7030e-004",
"499.6","0.3212","3.7253e-004",
"499.8","0.3227","3.7430e-004",
"500.0","0.3245","3.7643e-004",
"500.2","0.3266","3.7889e-004",
"500.4","0.3289","3.8150e-004",
"500.6","0.3311","3.8407e-004",
"500.8","0.3329","3.8616e-004",
"501.0","0.3346","3.8809e-004",
"501.2","0.3368","3.9063e-004",
"501.4","0.3392","3.9348e-004",
"501.6","0.3415","3.9607e-004",
"501.8","0.3436","3.9853e-004",
"502.0","0.3456","4.0086e-004",
"502.2","0.3478","4.0338e-004",
"502.4","0.3504","4.0649e-004",
"502.6","0.3532","4.0967e-004",
"502.8","0.3556","4.1250e-004",
"503.0","0.3579","4.1516e-004",
"503.2","0.3600","4.1758e-004",
"503.4","0.3621","4.1998e-004",
"503.6","0.3644","4.2274e-004",
"503.8","0.3669","4.2555e-004",
"504.0","0.3693","4.2835e-004",
"504.2","0.3720","4.3150e-004",
"504.4","0.3752","4.3523e-004",
"504.6","0.3782","4.3875e-004",
"504.8","0.3807","4.4161e-004",
"505.0","0.3831","4.4435e-004",
"505.2","0.3855","4.4714e-004",
"505.4","0.3881","4.5016e-004",
"505.6","0.3909","4.5340e-004",
"505.8","0.3935","4.5639e-004",
"506.0","0.3957","4.5895e-004",
"506.2","0.3980","4.6161e-004",
"506.4","0.4004","4.6442e-004",
"506.6","0.4031","4.6761e-004",
"506.8","0.4061","4.7107e-004",
"507.0","0.4093","4.7479e-004",
"507.2","0.4126","4.7860e-004",
"507.4","0.4156","4.8209e-004",
"507.6","0.4184","4.8535e-004",
"507.8","0.4210","4.8835e-004",
"508.0","0.4237","4.9144e-004",
"508.2","0.4268","4.9506e-004",
"508.4","0.4300","4.9875e-004",
"508.6","0.4327","5.0192e-004",
"508.8","0.4352","5.0479e-004",
"509.0","0.4376","5.0755e-004",
"509.2","0.4401","5.1047e-004",
"509.4","0.4430","5.1383e-004",
"509.6","0.4460","5.1734e-004",
"509.8","0.4489","5.2072e-004",
"510.0","0.4518","5.2411e-004",
"510.2","0.4547","5.2744e-004",
"510.4","0.4576","5.3080e-004",
"510.6","0.4603","5.3393e-004",
"510.8","0.4632","5.3731e-004",
"511.0","0.4663","5.4092e-004",
"511.2","0.4695","5.4456e-004",
"511.4","0.4725","5.4813e-004",
"511.6","0.4755","5.5161e-004",
"511.8","0.4786","5.5520e-004",
"512.0","0.4815","5.5852e-004",
"512.2","0.4840","5.6147e-004",
"512.4","0.4869","5.6477e-004",
"512.6","0.4901","5.6844e-004",
"512.8","0.4931","5.7198e-004",
"513.0","0.4958","5.7515e-004",
"513.2","0.4987","5.7851e-004",
"513.4","0.5019","5.8213e-004",
"513.6","0.5045","5.8520e-004",
"513.8","0.5070","5.8806e-004",
"514.0","0.5097","5.9124e-004",
"514.2","0.5129","5.9492e-004",
"514.4","0.5158","5.9833e-004",
"514.6","0.5186","6.0157e-004",
"514.8","0.5211","6.0448e-004",
"515.0","0.5238","6.0754e-004",
"515.2","0.5265","6.1070e-004",
"515.4","0.5295","6.1420e-004",
"515.6","0.5324","6.1756e-004",
"515.8","0.5354","6.2108e-004",
"516.0","0.5386","6.2471e-004",
"516.2","0.5416","6.2826e-004",
"516.4","0.5440","6.3104e-004",
"516.6","0.5461","6.3350e-004",
"516.8","0.5484","6.3616e-004",
"517.0","0.5510","6.3911e-004",
"517.2","0.5543","6.4295e-004",
"517.4","0.5576","6.4683e-004",
"517.6","0.5604","6.5007e-004",
"517.8","0.5630","6.5305e-004",
"518.0","0.5653","6.5570e-004",
"518.2","0.5679","6.5875e-004",
"518.4","0.5712","6.6261e-004",
"518.6","0.5746","6.6653e-004",
"518.8","0.5775","6.6987e-004",
"519.0","0.5799","6.7270e-004",
"519.2","0.5818","6.7489e-004",
"519.4","0.5841","6.7751e-004",
"519.6","0.5869","6.8073e-004",
"519.8","0.5895","6.8384e-004",
"520.0","0.5920","6.8666e-004",
"520.2","0.5944","6.8947e-004",
"520.4","0.5970","6.9245e-004",
"520.6","0.5995","6.9544e-004",
"520.8","0.6022","6.9854e-004",
"521.0","0.6052","7.0202e-004",
"521.2","0.6082","7.0546e-004",
"521.4","0.6103","7.0790e-004",
"521.6","0.6118","7.0964e-004",
"521.8","0.6138","7.1194e-004",
"522.0","0.6164","7.1499e-004",
"522.2","0.6193","7.1839e-004",
"522.4","0.6223","7.2185e-004",
"522.6","0.6245","7.2438e-004",
"522.8","0.6263","7.2651e-004",
"523.0","0.6283","7.2882e-004",
"523.2","0.6307","7.3154e-004",
"523.4","0.6332","7.3447e-004",
"523.6","0.6360","7.3769e-004",
"523.8","0.6385","7.4059e-004",
"524.0","0.6407","7.4320e-004",
"524.2","0.6431","7.4592e-004",
"524.4","0.6452","7.4843e-004",
"524.6","0.6472","7.5075e-004",
"524.8","0.6494","7.5327e-004",
"525.0","0.6518","7.5602e-004",
"525.2","0.6540","7.5866e-004",
"525.4","0.6562","7.6117e-004",
"525.6","0.6584","7.6375e-004",
